PlayerName,Edad,Goles,Asistencias,Tarjetas_Amarilla,Tarjetas_Roja,Goles_90Min,Asistencias_90Min,xG,npxG,xA,xG_90Min,xA_90Min
Kévin Gameiro,30,7,2,0,0,0.56,0.16,5.6,4,1.2,0.45,0.1
Emiliano Sala,26,12,3,4,2,0.36,0.09,15.8,12,2.8,0.47,0.08
Ivan Perišic,28,11,7,4,0,0.3,0.19,10.4,10.4,7.5,0.28,0.2
Mauro Icardi,24,29,1,2,0,0.88,0.03,23.5,18.2,3.4,0.71,0.1
Mariano,23,18,3,6,0,0.65,0.11,13.6,12.8,2.5,0.49,0.09
Memphis Depay,23,19,9,3,0,0.67,0.32,13.9,12.6,8.5,0.49,0.3
Nabil Fekir,24,18,7,8,0,0.65,0.25,12.2,9.2,5.6,0.44,0.2
Houssem Aouar,19,6,4,1,0,0.22,0.15,5.6,5.6,3.9,0.21,0.14
Bertrand Traoré,21,13,4,3,0,0.51,0.16,9.5,9.5,2.7,0.37,0.11
José Callejón,30,10,9,3,0,0.28,0.25,9.3,9.3,7.5,0.26,0.21
Lorenzo Insigne,26,8,11,4,0,0.23,0.32,14.3,13.5,9.1,0.41,0.26
Dries Mertens,30,18,7,4,0,0.54,0.21,15.7,11.9,6.9,0.47,0.21
Jimmy Briand,31,11,1,4,0,0.31,0.03,11.2,8.2,2.6,0.31,0.07
Wayne Rooney,31,10,2,5,0,0.4,0.08,8.5,3.8,2.5,0.33,0.1
Oumar Niasse,27,8,2,2,0,0.66,0.17,6.6,6.6,1.9,0.55,0.16
Jonathan Bamba,21,7,6,1,0,0.25,0.21,9.1,6,6,0.32,0.21
Rémy Cabella,27,7,5,3,0,0.28,0.2,7.8,5.5,6.2,0.31,0.25
Robert Beric,26,7,1,0,0,0.61,0.09,5.2,3.7,1.1,0.45,0.1
Pascal Groß,26,7,8,2,0,0.22,0.25,3.2,2.5,5.7,0.1,0.18
Glenn Murray,33,12,0,9,0,0.49,0,11.6,7,1,0.47,0.04
Eden Hazard,26,12,4,2,0,0.45,0.15,7.9,6.4,7.1,0.29,0.26
Álvaro Morata,24,11,6,7,0,0.48,0.26,12.8,12.8,3.4,0.56,0.15
Willian,28,6,7,1,0,0.29,0.33,4.9,4.1,5.3,0.23,0.25
Edin Džeko,31,16,3,6,0,0.48,0.09,20.2,20.2,4.2,0.6,0.13
Stephan El Shaarawy,24,7,5,1,0,0.29,0.21,9.2,9.2,3.8,0.38,0.16
Cengiz Ünder,20,7,2,0,0,0.5,0.14,4.6,4.6,2,0.33,0.14
Roberto Inglese,25,12,1,3,0,0.39,0.03,9.2,7.7,1.5,0.3,0.05
Nicolas Pépé,22,13,5,5,0,0.41,0.16,8.2,7.4,4.5,0.26,0.14
Kevin Volland,25,14,2,5,0,0.49,0.07,10.6,10.6,5.2,0.37,0.18
Julian Brandt,21,9,3,0,0,0.35,0.12,6,6,6.1,0.23,0.24
Leon Bailey,19,9,6,2,0,0.37,0.24,6.7,6.7,5.8,0.27,0.23
Lucas Alario,24,9,4,4,1,0.52,0.23,10.9,9.4,1.7,0.63,0.1
Guido Burgstaller,28,11,4,8,0,0.43,0.15,8.7,8.7,5.1,0.34,0.2
Leonardo Pavoletti,28,11,0,8,0,0.36,0,12.8,12.8,1.2,0.42,0.04
Stéphane Bahoken,25,7,1,5,0,0.38,0.05,6.4,6.4,1.3,0.35,0.07
Kike,27,8,1,5,0,0.29,0.04,10,10,1,0.36,0.04
Charles,33,8,1,5,1,0.46,0.06,5.9,5.9,1.3,0.34,0.08
Raheem Sterling,22,18,11,4,2,0.63,0.38,17.2,16.2,6.4,0.6,0.22
Leroy Sané,21,10,15,4,0,0.37,0.56,4.7,4.7,7.8,0.17,0.29
Sergio Agüero,29,21,6,2,0,0.96,0.28,16.6,13.6,5.9,0.76,0.27
Gabriel Jesus,20,13,3,6,0,0.7,0.16,13.1,11.6,2.2,0.71,0.12
Bernardo Silva,22,6,4,0,0,0.35,0.23,3.8,3.2,1.6,0.23,0.1
Benjamin Bourigeaud,23,10,7,3,0,0.29,0.2,7.6,5.3,8.7,0.22,0.25
Wahbi Khazri,26,9,2,8,1,0.42,0.09,8.3,5.2,3.6,0.39,0.17
